,Site,Code,UCode,Type,StateCode,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName,UName
778,GMS69C,M9131,,LP,,,,UNKO  M9131,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-44.0000,1.0000,GMS,,,
779,GMS69C,M9132,,LP,,,,UNKO  M9132,Unknown Soviet cruise meteo launch site see also GMS68B,Indian Ocean,65.0000,-41.0000,1.0000,GMS,,,
780,GMS69C,M9134,,LP,,,,UNKO  M9134,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-39.0000,1.0000,GMS,,,
781,GMS69C,M9135,,LP,,,,UNKO  M9135,Unknown Soviet cruise meteo launch site see also GMS68B,Indian Ocean,65.0000,-34.0000,1.0000,GMS,,,
782,GMS69C,M9136,,LP,,,,UNKO  M9136,Unknown Soviet cruise meteo launch site see also GMS68B,Indian Ocean,65.0000,-32.0000,1.0000,GMS,,,
783,GMS69C,M9138,,LP,,,,UNKO  M9138,Unknown Soviet cruise meteo launch site 1969 - see also UNKMR4,Indian Ocean,65.0000,-28.0000,1.0000,GMS,,,
784,GMS69C,M9139,,LP,,,,UNKO  M9139,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-21.0000,1.0000,GMS,,,
785,GMS69C,M9140,,LP,,,,UNKO  M9140,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-19.0000,1.0000,GMS,,,
786,GMS69C,M9141,,LP,,,,UNKO  M9141,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-15.0000,1.0000,GMS,,,
787,GMS69C,M9142,,LP,,,,UNKO  M9142,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-12.0000,1.0000,GMS,,,
788,GMS69C,M9143,,LP,,,,UNKO  M9143,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-11.0000,1.0000,GMS,,,
789,GMS69C,M9144,,LP,,,,UNKO  M9144,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-10.0000,9.0000,GMS,,,
790,GMS69C,M9146,,LP,,,,UNKO  M9146,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-1.0000,1.0000,GMS,,,
791,GMS69C,M9147,,LP,,,,UNKO  M9147,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-2.0000,1.0000,GMS,,,
792,GMS69C,M9148,,LP,,,,UNKO  M9148,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-6.0000,1.0000,GMS,,,
793,GMS69C,M9149,,LP,,,,UNKO  M9149,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-9.0000,1.0000,GMS,,,
794,GMS69C,M9150,,LP,,,,UNKO  M9150,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,-10.0000,1.0000,GMS,,,
795,GMS69C,M9151,,LP,,,,UNKO  M9151,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,16.0000,1.0000,GMS,,,
796,GMS69C,M9152,,LP,,,,UNKO  M9152,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,20.0000,1.0000,GMS,,,
797,GMS69C,M9153,,LP,,,,UNKO  M9153,Unknown Soviet cruise meteo launch site,Indian Ocean,65.0000,22.0000,1.0000,GMS,,,
798,GMS69D,LP1,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-30.0000,45.0000,1.0000,GMS,,,
799,GMS69D,LP10,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-17.7700,0.3200,1.0000,GMS,,,
800,GMS69D,LP2,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-34.0000,31.0000,1.0000,GMS,,,
801,GMS69D,LP3,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-34.8300,30.9800,1.0000,GMS,,,
802,GMS69D,LP4,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-34.9200,31.0800,1.0000,GMS,,,
803,GMS69D,LP5,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-34.9300,31.2500,1.0000,GMS,,,
804,GMS69D,LP6,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-17.7300,-0.0500,1.0000,GMS,,,
805,GMS69D,LP7,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-17.5700,-0.0800,1.0000,GMS,,,
806,GMS69D,LP8,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-17.5200,0.0800,1.0000,GMS,,,
807,GMS69D,LP9,,LP,,,,Zubov,Unknown Soviet cruise meteo launch site 1969,Atlantic Ocean,-17.5700,0.1300,1.0000,GMS,,,
808,GMS69E,LP1,,LP,,1969,1969,GMS69ELP1,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-25.0000,63.0000,5.0000,GMS,,,
809,GMS69E,LP2,,LP,,1969 Oct 11,1969,GMS69ELP1,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-32.0000,64.0000,0.5000,GMS,,,
810,GMS69E,LP3,,LP,,1969 Oct 18,1969,GMS69ELP1,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-36.4000,61.2000,0.1000,GMS,,,
811,GMS69E,LP4,,LP,,1969 Oct 18,1969,GMS69ELP1,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-37.1000,61.5000,0.2000,GMS,,,
812,GMS69E,LP5,,LP,,1969 Nov  5,1969,GMS69ELP1,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-19.0000,54.5000,0.5000,GMS,,,
813,GMS69E,LP6,,LP,,1969 Nov  9,1969,GMS69ELP1,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-19.5000,54.5000,1.5000,GMS,,,
814,GMS69E,LP7,,LP,,1969 Dec 10,1969,GMS69ELP1,"Zubov Expedition 1969/2, 65-41N 38-17W",Atlantic Ocean,-28.0000,62.4000,0.3000,GMS,,,
815,GMS70A,LP1,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-9.0000,1.0000,DVNG,,,
816,GMS70A,LP10,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-39.0000,1.0000,DVNG,,,
817,GMS70A,LP11,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,66.0000,-39.0000,1.0000,DVNG,,,
818,GMS70A,LP12,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-31.0000,1.0000,DVNG,,,
819,GMS70A,LP2,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-15.0000,1.0000,DVNG,,,
820,GMS70A,LP3,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-19.0000,1.0000,DVNG,,,
821,GMS70A,LP4,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-41.0000,1.0000,DVNG,,,
822,GMS70A,LP5,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,66.0000,-41.0000,1.0000,DVNG,,,
823,GMS70A,LP6,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-45.0000,1.0000,DVNG,,,
824,GMS70A,LP7,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-51.0000,1.0000,DVNG,,,
825,GMS70A,LP8,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,69.0000,-50.0000,1.0000,DVNG,,,
826,GMS70A,LP9,,LP,,1970 Jun,1970 Jul,Shokal'skiy,Shokal'skiy 1970 cruise,Indian Ocean,65.0000,-46.0000,1.0000,DVNG,,,
827,GMS70B,LP1,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 1",Atlantic Ocean,-30.0000,5.0000,9.0000,GMS,,,
828,GMS70B,LP10,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 10",Atlantic Ocean,-30.1200,20.2000,0.5000,GMS,,,
829,GMS70B,LP11,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 11",Atlantic Ocean,-30.1200,20.2000,0.5000,GMS,,,
830,GMS70B,LP12,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 12",Atlantic Ocean,-30.0000,21.0000,2.0000,GMS,,,
831,GMS70B,LP13,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 13",Atlantic Ocean,-30.0000,22.0000,5.0000,GMS,,,
832,GMS70B,LP14,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 14",Atlantic Ocean,-30.0000,22.0000,5.0000,GMS,,,
833,GMS70B,LP15,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 15",Atlantic Ocean,-30.0000,22.0000,5.0000,GMS,,,
834,GMS70B,LP2,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 2",Atlantic Ocean,-30.0000,5.0000,9.0000,GMS,,,
835,GMS70B,LP3,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 3",Atlantic Ocean,-30.0000,5.0000,9.0000,GMS,,,
836,GMS70B,LP4,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 4",Atlantic Ocean,-30.0000,5.0000,9.0000,GMS,,,
837,GMS70B,LP5,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 5",Atlantic Ocean,-30.0000,5.0000,9.0000,GMS,,,
838,GMS70B,LP6,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 6",Atlantic Ocean,-30.0000,5.0000,9.0000,GMS,,,
839,GMS70B,LP7,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 7",Atlantic Ocean,-30.0000,5.0000,9.0000,GMS,,,
840,GMS70B,LP8,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 8",Atlantic Ocean,-30.0000,6.0000,2.0000,GMS,,,
841,GMS70B,LP9,,LP,,1970,1970,AOR18 -,"Vise Expedition 1970, Launch Point 9",Atlantic Ocean,-30.0000,6.0000,2.0000,GMS,,,
842,GMS70C,LP1,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,70.0000,-2.0000,1.0000,DVNG,,,
843,GMS70C,LP10,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,85.0000,-40.0000,1.0000,DVNG,,,
844,GMS70C,LP11,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,97.0000,-50.0000,1.0000,DVNG,,,
845,GMS70C,LP12,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,112.0000,-27.0000,1.0000,DVNG,,,
846,GMS70C,LP13,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,140.0000,0.0000,1.0000,DVNG,,,
847,GMS70C,LP14,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,140.0000,15.5000,1.0000,DVNG,,,
848,GMS70C,LP15,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,143.0000,31.0000,1.0000,DVNG,,,
849,GMS70C,LP16,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,145.0000,32.0000,1.0000,DVNG,,,
850,GMS70C,LP2,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,69.0000,-22.0000,1.0000,DVNG,,,
851,GMS70C,LP3,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,70.0000,-29.0000,1.0000,DVNG,,,
852,GMS70C,LP4,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,70.0000,-34.0000,1.0000,DVNG,,,
853,GMS70C,LP5,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,70.0000,-40.0000,1.0000,DVNG,,,
854,GMS70C,LP6,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,71.0000,-48.0000,1.0000,DVNG,,,
855,GMS70C,LP7,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,70.0000,-49.0000,1.0000,DVNG,,,
856,GMS70C,LP8,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,70.0000,-55.0000,1.0000,DVNG,,,
857,GMS70C,LP9,,LP,,1970 Nov,1971 Feb,Shirshov 70A,Shirshov cruise Nov 1970-Feb 1971,Indian Ocean,70.0000,-54.0000,1.0000,DVNG,,,
858,GMS70D,LP1,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,129.0000,-3.0000,1.0000,DVNG,,,
859,GMS70D,LP10,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,135.0000,-40.0000,1.0000,DVNG,,,
860,GMS70D,LP11,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Tasman Sea,159.0000,-40.0000,1.0000,DVNG,,,
861,GMS70D,LP12,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,180.0000,-40.0000,1.0000,DVNG,,,
862,GMS70D,LP13,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,179.0000,-38.0000,1.0000,DVNG,,,
863,GMS70D,LP14,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,180.0000,-32.0000,1.0000,DVNG,,,
864,GMS70D,LP15,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,180.0000,-14.0000,1.0000,DVNG,,,
865,GMS70D,LP16,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,180.0000,19.0000,1.0000,DVNG,,,
866,GMS70D,LP17,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,180.0000,23.0000,1.0000,DVNG,,,
867,GMS70D,LP18,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-179.0000,25.0000,1.0000,DVNG,,,
868,GMS70D,LP19,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,177.0000,40.0000,1.0000,DVNG,,,
869,GMS70D,LP2,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,114.0000,-18.0000,1.0000,DVNG,,,
870,GMS70D,LP3,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,112.0000,-29.0000,1.0000,DVNG,,,
871,GMS70D,LP4,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,112.0000,-32.0000,1.0000,DVNG,,,
872,GMS70D,LP5,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,112.0000,-35.0000,1.0000,DVNG,,,
873,GMS70D,LP6,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,116.0000,-42.0000,1.0000,DVNG,,,
874,GMS70D,LP7,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,115.0000,-40.0000,1.0000,DVNG,,,
875,GMS70D,LP8,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,115.0000,-48.0000,1.0000,DVNG,,,
876,GMS70D,LP9,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Indian Ocean,115.0000,-50.0000,1.0000,DVNG,,,
877,GMS70E,LP1,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,162.0000,-8.0000,1.0000,DVNG,,,
878,GMS70E,LP10,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-135.0000,8.0000,1.0000,DVNG,,,
879,GMS70E,LP11,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-135.0000,17.0000,1.0000,DVNG,,,
880,GMS70E,LP12,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-135.0000,25.0000,1.0000,DVNG,,,
881,GMS70E,LP13,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-135.0000,34.0000,1.0000,DVNG,,,
882,GMS70E,LP14,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-132.0000,42.0000,1.0000,DVNG,,,
883,GMS70E,LP15,,LP,,1970 Nov,1971 Feb,UNK 70A,"UNK cruise Nov 1970-Feb 1971 [164W in RF, typo?]",Pacific Ocean,-132.0000,40.0000,2.0000,DVNG,,,
884,GMS70E,LP16,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-140.0000,40.0000,1.0000,DVNG,,,
885,GMS70E,LP17,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-150.0000,40.0000,1.0000,DVNG,,,
886,GMS70E,LP18,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-164.0000,40.0000,1.0000,DVNG,,,
887,GMS70E,LP19,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-172.0000,40.0000,1.0000,DVNG,,,
888,GMS70E,LP2,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,162.0000,-17.0000,1.0000,DVNG,,,
889,GMS70E,LP20,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,169.0000,40.0000,1.0000,DVNG,,,
890,GMS70E,LP21,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,154.0000,40.0000,1.0000,DVNG,,,
891,GMS70E,LP3,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,163.0000,-38.0000,1.0000,DVNG,,,
892,GMS70E,LP4,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,165.0000,-50.0000,1.0000,DVNG,,,
893,GMS70E,LP5,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,165.0000,-48.0000,1.0000,DVNG,,,
894,GMS70E,LP6,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-154.0000,-40.0000,1.0000,DVNG,,,
895,GMS70E,LP7,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-154.0000,-32.0000,1.0000,DVNG,,,
896,GMS70E,LP8,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-150.0000,-12.0000,1.0000,DVNG,,,
897,GMS70E,LP9,,LP,,1970 Nov,1971 Feb,UNK 70A,UNK cruise Nov 1970-Feb 1971,Pacific Ocean,-137.0000,0.0000,1.0000,DVNG,,,
898,GMS71A,LP1,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,64.9800,22.9300,1.0000,DVNG,,,
899,GMS71A,LP10,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,-38.0300,1.0000,DVNG,,,
900,GMS71A,LP11,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,64.9700,-34.4500,1.0000,DVNG,,,
901,GMS71A,LP12,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,64.9700,-30.3300,1.0000,DVNG,,,
902,GMS71A,LP13,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,-23.0300,1.0000,DVNG,,,
903,GMS71A,LP14,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0200,-16.6500,1.0000,DVNG,,,
904,GMS71A,LP15,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0200,-8.8500,1.0000,DVNG,,,
905,GMS71A,LP16,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0500,-2.7800,1.0000,DVNG,,,
906,GMS71A,LP17,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,64.9800,4.3300,1.0000,DVNG,,,
907,GMS71A,LP18,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,8.0000,1.0000,DVNG,,,
908,GMS71A,LP19,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,13.0000,1.0000,DVNG,,,
909,GMS71A,LP2,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,10.0700,1.0000,DVNG,,,
910,GMS71A,LP20,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,16.0000,1.0000,DVNG,,,
911,GMS71A,LP21,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971 [Loc wrong in RF],Indian Ocean,77.0000,3.0000,1.0000,DVNG,,,
912,GMS71A,LP22,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,81.0000,0.0000,1.0000,DVNG,,,
913,GMS71A,LP3,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,4.8200,1.0000,DVNG,,,
914,GMS71A,LP4,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,0.9800,1.0000,DVNG,,,
915,GMS71A,LP5,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,64.9800,-3.6300,1.0000,DVNG,,,
916,GMS71A,LP6,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0200,-12.9700,1.0000,DVNG,,,
917,GMS71A,LP7,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.5200,-24.5500,1.0000,DVNG,,,
918,GMS71A,LP8,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,64.9000,-33.8700,1.0000,DVNG,,,
919,GMS71A,LP9,,LP,,1971 May,1971 Jul,UNK 71A,UNK cruise May 1971-Jul 1971,Indian Ocean,65.0000,-38.4200,1.0000,DVNG,,,
920,GMS71B,LP1,,LP,,1971,1971,GMS71BLP1,Zubov Expedition 1971-2  24-0N 53-24W,Atlantic Ocean,-7.0000,47.0000,2.0000,GMS,,,
921,GMS71B,LP2,,LP,,1971,1971,GMS71BLP2,Zubov Expedition 1971-2  24-0N 53-24W   (CSG),Atlantic Ocean,-53.0000,6.0000,2.0000,GMS,,,
922,GMS71B,LP3,,LP,,1971,1971,GMS71BLP3,Zubov Expedition 1971-2  24-0N 53-24W,Atlantic Ocean,-26.0000,-4.0000,1.0000,GMS,,,
923,GMS71B,LP4,,LP,,1971,1971,GMS71BLP4,Zubov Expedition 1971-2  24-0N 53-24W,Atlantic Ocean,-26.5000,22.9000,0.5000,GMS,,,
924,GMS71B,LP5,,LP,,1971,1971,GMS71BLP5,Zubov Expedition 1971-2  24-0N 53-24W,Atlantic Ocean,-27.0000,23.8000,0.2000,GMS,,,
925,GMS72A,LP1,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,46.0000,1.0000,DVNG,,,
926,GMS72A,LP10,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,-7.0000,1.0000,DVNG,,,
927,GMS72A,LP11,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,-5.0000,1.0000,DVNG,,,
928,GMS72A,LP12,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,14.0000,1.0000,DVNG,,,
929,GMS72A,LP13,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,25.0000,1.0000,DVNG,,,
930,GMS72A,LP14,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,29.0000,1.0000,DVNG,,,
931,GMS72A,LP15,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,36.0000,1.0000,DVNG,,,
932,GMS72A,LP16,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,42.0000,1.0000,DVNG,,,
933,GMS72A,LP17,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,45.0000,1.0000,DVNG,,,
934,GMS72A,LP18,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,179.0000,32.0000,1.0000,DVNG,,,
935,GMS72A,LP2,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,43.0000,1.0000,DVNG,,,
936,GMS72A,LP3,,LP,,1972 Jan,1972 Mar,Shirshov 72A,Shirsov cruise Jan-Mar 1972,Pacific Ocean,-150.0000,24.0000,1.0000,DVNG,,,
